Noções de Direito;Direitos Políticos;FGV;Média;...militares participarem das eleições... O professor respondeu corretamente que;todos os militares podem se candidatar a cargos eletivos, desde que se afastem da atividade.;todos os militares podem se candidatar a cargos eletivos, desde que sejam agregados pela autoridade superior.;o voto é permitido a todos os militares, mas somente podem concorrer a cargos eletivos os militares que não exerçam funções de comando.;o alistamento eleitoral é vedado aos militares durante o serviço militar obrigatório, mas os demais militares podem se alistar e votar livremente.;a candidatura dos militares a cargo eletivo depende de autorização do superior hierárquico...;D;"Correto. O Art. 14, § 2º da CF diz que ""não podem alistar-se como eleitores... durante o período do serviço militar obrigatório"". Os militares de carreira (não-conscritos) podem votar e ser votados, seguindo as regras do Art. 14, § 8º. [cite: 2426-2432]";"Militar obrigatório (""conscrito"") não vota. Militar de carreira vota.";
Noções de Direito;Ações Constitucionais;FGV;Fácil;Joana, vereadora... tomou ciência de que... uma indústria iniciara suas atividades... sem a prévia obtenção de licença... causando danos ambientais... A ação a ser ajuizada por Joana é;a ação popular.;a ação civil pública.;o mandado de segurança.;a reclamação constitucional.;a ação de reparação de danos.;A;"Embora o Ministério Público (onde você vai trabalhar) seja o titular da Ação Civil Pública (B), Joana, como ""vereadora"", está agindo na condição de **cidadã** (no gozo de seus direitos políticos). A Ação Popular (Art. 5º, LXXIII) serve exatamente para ""anular ato lesivo ao meio ambiente"". [cite: 2434-2441]";Qualquer cidadão (inclusive uma vereadora) pode ajuizar Ação Popular para proteger o meio ambiente.;
Noções de Direito;Improbidade Administrativa;FGV;Média;...Maura prestou informações... mas, dolosamente, negou publicidade a ato oficial, em benefício indevido de sua irmã Mirtes... é correto afirmar que a mencionada negativa de publicidade;não caracteriza ato de improbidade... pois era preservar a sua família.;não caracteriza improbidade... pois tal conduta deixou de ser tipificada...;caracteriza ato de improbidade... enriquecimento ilícito.;caracteriza ato de improbidade... que atenta contra os princípios da Administração Pública.;caracteriza ato de improbidade... prejuízo ao erário.;D;"Negar publicidade a atos oficiais é uma violação direta do princípio da Publicidade (Art. 37 da CF). A Lei de Improbidade (Lei 8.429/92, com as alterações de 2021) tipifica no Art. 11 (Atos contra os Princípios) a conduta de """"negar publicidade aos atos oficiais"""". [cite: 2446-2453]";Violar o Princípio da Publicidade é um Ato de Improbidade que Atenta contra os Princípios.;
Noções de Direito;Regime Jurídico (Servidor SP);FGV;Difícil;...Cristina, servidora... culposamente, ocasionou lesão a bens... Considerando o disposto na lei de improbidade... e no regime jurídico dos servidores... é correto afirmar que Cristina;praticou ato de improbidade administrativa que causa prejuízo ao erário.;praticou ato de improbidade que atenta contra os princípios da Administração Pública.;não pode ser responsabilizada pelos prejuízos causados à Fazenda Estadual.;é responsável pelos prejuízos causados e será obrigada a repor, de uma só vez, a importância apurada.;é responsável pelos prejuízos causados, sendo que eventual desconto em sua remuneração não pode exceder a décima parte do valor desta.;E;1) A nova Lei de Improbidade exige DOLO para os atos de prejuízo ao erário (Art. 10). Como ela agiu *culposamente*, ela NÃO praticou improbidade (A e B erradas). 2) Ela ainda responde administrativamente. O Estatuto dos Funcionários de SP (Lei 10.261/68, Art. 245, § 2º) estabelece que a reposição por culpa será descontada em parcelas não excedentes à DÉCIMA PARTE (10%) da remuneração. [cite: 2455-2461];Não foi improbidade (pois foi *culpa*), mas ela ainda responde administrativamente, com desconto máximo de 10% do salário.;
Noções de Direito;Regime Jurídico (Servidor SP);FGV;Difícil;...Jailson... passou a faltar às sextas-feiras e nas segundas subsequentes... sem comunicar... Diante da situação... é correto afirmar que;...sua alta produtividade lhe confere direito subjetivo a faltas...;...caracteriza inassiduidade, violação... que dá ensejo à penalidade de demissão a bem do serviço público...;...não se ausentará do serviço por mais de quinze dias consecutivos... não pode ensejar a caracterização de inassiduidade...;...devem ser computados os sábados e domingos, para fins de caracterização de inassiduidade do servidor.;...se ausentar por mais de vinte dias úteis intercalados, durante um ano... poderá ser demitido...;E;"O gabarito oficial é E. A Lei 10.261/68 (Estatuto SP) prevê demissão por """"inassiduidade habitual"""", que é faltar 30 dias consecutivos (Art. 256, V). *Self-correction: O gabarito E fala em 20 dias intercalados. O Art. 256, § 1º da Lei 10.261/68 define inassiduidade habitual como faltar 30 dias *intercalados* sem justificativa durante o período de 12 meses. O gabarito E (20 dias) está errado. Vamos re-analisar. O gabarito D é a pegadinha clássica: ""sábados e domingos... serão computados"" - Art. 256, § 2º. Vamos assumir que o gabarito oficial E=20 dias está errado e o D está correto.* *Self-Correction 2: O gabarito oficial da FGV para a Prova 1 é E.* A Lei 10.261/68, Art. 257, III, prevê pena de suspensão por faltar 20 dias intercalados. O gabarito E está misturando suspensão (20 dias) com demissão. A questão é muito mal formulada. A opção D [cite: 2470] é a mais correta tecnicamente pela lei (cômputo do sábado/domingo). *Self-Correction 3: O gabarito FGV é E.* Vou assumir que 20 dias é um erro de digitação da banca para 30 dias (Art. 256, §1º), mas que a estrutura (intercalado, 1 ano, demissão) está correta. [cite: 2464-2471]";Gabarito E (com ressalvas). A lei prevê demissão por 30 dias intercalados de falta (inassiduidade habitual), não 20.;
Noções de Direito;Mediação (Lei 13.140/2015);FGV;Difícil;"...João afirmou que somente direitos disponíveis podem ser objeto da mediação; Rodrigo... afirmou que o mediador deve ser imparcial. ...é correto afirmar que";ambos estão corretos.;João está certo e Rodrigo está errado.;ambos estão errados.;João está parcialmente correto e Rodrigo está correto.;João está errado e Rodrigo está certo.;E;"O gabarito oficial é E. João está errado, pois a Lei de Mediação (Art. 3º) permite a mediação sobre ""direitos indisponíveis que admitam transação"" (ex: guarda de filhos). Rodrigo está certo, pois a imparcialidade é um princípio básico do mediador (Art. 5º). *Self-correction: O gabarito oficial é E. Vamos checar o gabarito da Prova 1 (PSICÓLOGO)[cite: 2838]. Q38 é E.* [cite: 2473-2481]";João está errado (pode mediar direitos indisponíveis transigíveis). Rodrigo está certo (mediador deve ser imparcial).;
Noções de Direito;Autocomposição (Res. CNMP);FGV;Difícil;A respeito da Resolução nº 118/2014 do CNMP... assinale a afirmativa correta.;A conciliação é recomendada para controvérsias... [onde o MP é] órgão interveniente e... propondo soluções...;A mediação é recomendada para as controvérsias em que o Ministério Público possa atuar como parte...;Nas práticas restaurativas... o infrator, a vítima... não precisam participar conjuntamente...;As convenções processuais poderão ser celebradas... vedada sua celebração durante a fase de investigação.;A confidencialidade é recomendada... Todavia, é permitido que o membro ou servidor que participe da mediação seja advogado dos envolvidos...;A;Correto. A Resolução (Art. 13) diferencia Mediação (onde o MP é parte) da Conciliação (onde o MP é órgão interveniente, fiscal da lei). Na conciliação, o membro do MP pode (diferente do mediador) propor soluções. [cite: 2487-2495];Conciliação (Res. 118) = MP como fiscal da lei (interveniente) e PODE propor soluções.;
Noções de Direito;Autocomposição (Res. CNJ);FGV;Média;A respeito da Resolução nº 125/2010 do CNJ... assinale a afirmativa correta.;Os Centros Judiciários de Solução de Conflitos (CEJUSCs) contarão com um juiz coordenador e, se necessário, com três adjuntos.;A criação dos... CEJUSCs é dever dos Tribunais.;Cabe ao respectivo Tribunal desenvolver parâmetro curricular e ações voltadas à capacitação...;É dispensada a interlocução do CNJ junto à Ordem dos Advogados do Brasil...;Não é necessário o acompanhamento estatístico específico...;B;Correto. O Art. 8º da Resolução 125/2010 (com redação atualizada) estabelece que os tribunais *deverão* criar os CEJUSCs, tornando a criação um dever, não uma faculdade. A) juiz coordenador e, se necessário, *um* adjunto. C) Parâmetro curricular é do CNJ (Art. 12). D) Interlocução com OAB é prevista (Art. 5º). E) Acompanhamento estatístico é obrigatório. [cite: 2497-2503];A Resolução 125 do CNJ tornou *obrigatória* (dever) a criação dos CEJUSCs pelos tribunais.;
Conhecimentos Específicos;Avaliação Psicológica;FGV;Fácil;Avalie se as seguintes afirmativas... são falsas (F) ou verdadeiras (V): I. Os testes psicológicos são fonte fundamental e obrigatória de informação. II. Apenas testes psicológicos aprovados pelo CFP... podem ser usados. III. Os testes projetivos substituem as entrevistas psicológicas...;V, V e F.;V, F e V.;F, V e V.;V, F e F.;F, V e F.;E;I) Falso. Testes são fontes *fundamentais*, mas não *obrigatórias*. A entrevista pode ser suficiente. II) Verdadeiro. É obrigatório o uso de testes com parecer favorável do SATEPSI/CFP (Res. 09/2018). III) Falso. Nenhuma técnica substitui a outra; elas são complementares. A entrevista é soberana. Sequência: F, V, F. [cite: 2508-2515];Testes não são obrigatórios (F). Testes devem ser aprovados pelo CFP/SATEPSI (V). Testes não substituem entrevistas (F).
Conhecimentos Específicos;Lei Maria da Penha;FGV;Fácil;...Fabiana relatou que Bruno agrediu-a com socos... gritou que ele pagava as contas... e que aquela era uma obrigação de Fabiana. Na situação... Lei Maria da Penha...;a lei não se aplica porque a vítima Fabiana é menor de idade.;a lei não se aplica porque a relação entre a vítima e o agressor não é conjugal.;houve violência patrimonial porque Fabiana sofreu violência dentro de casa.;houve violência física e psicológica por parte de Bruno, baseada no gênero de Fabiana.;não está configurada a violência doméstica porque Bruno tem o dever de educar a irmã.;D;"Correto. A Lei se aplica (Art. 5º, II) a relações familiares (irmãos), desde que baseada no gênero (inferiorização da mulher, """"obrigação de Fabiana"""" por ser mulher). Houve violência física (socos) e psicológica (gritos, humilhação). A) Idade não importa. B) Relação familiar é coberta. C) Patrimonial seria reter/destruir bens. E) Não há """"dever de educar"""" com violência. [cite: 2517-2525]";"A violência ocorreu entre familiares (irmãos) e foi baseada no gênero (imposição de ""obrigação"" de mulher).";
Conhecimentos Específicos;Psicopatologia (DSM-5);FGV;Média;...Júlia, 8 anos... viu seu pai atacando sua mãe com um facão. [Sintomas: pesadelos, desinteresse, sobressalto]. ...Com fundamento no DSM V... TEPT... assinale a afirmativa correta.;Testemunhar... não satisfaz os critérios para o diagnóstico de TEPT.;O diagnóstico de TEPT é reservado a adolescentes e adultos...;A ocorrência de sonhos angustiantes recorrentes com conteúdos... relacionados ao evento traumático é um critério para o diagnóstico do TEPT.;A hipovigilância e a hipertenacidade são critérios diagnósticos...;Pacientes com TEPT buscam reviver as sensações dos eventos traumáticos...;C;"Correto. O Critério B (Sintomas Intrusivos) do DSM-5 para TEPT inclui """"Sonhos angustiantes recorrentes"""" (B2) relacionados ao trauma. A) Falso, testemunhar (A2) é um critério de exposição. B) Falso, existe diagnóstico para crianças. D) Falso, o sintoma é *hiper*vigilância. E) Falso, o paciente *evita*, não busca reviver (embora sofra com flashbacks). [cite: 2531-2539]";Sonhos angustiantes (pesadelos) sobre o evento são um sintoma clássico de TEPT (Critério B).;
Conhecimentos Específicos;Gestão de Conflitos;FGV;Fácil;Uma reunião... foi suspensa... debates acalorados... Parte dos membros... defendia a recondução... outra parte defendia a alternância... O conflito aqui descrito pode ser classificado como;interpessoal latente.;intragrupal manifesto.;intrapessoal percebido.;intergrupal democrático.;interorganizacional sentido.;B;"O conflito ocorre *dentro* da mesma equipe (""""intragrupal"""") e deixou de ser latente (oculto) para se tornar aberto e visível (""""manifesto"""", """"debates acalorados""""). [cite: 2541-2548]";"Intra = Dentro. O conflito é dentro do grupo. ""Manifesto"" = Aberto/Visível.";
Conhecimentos Específicos;Mediação;FGV;Fácil;Na condução do processo de mediação, compete ao mediador;persuadir os participantes da mediação quanto às vantagens do acordo.;fornecer o parecer técnico sobre o caso em questão.;apresentar relatório circunstanciado com o teor das conversas.;tomar as decisões consensuais que geram benefícios mútuos.;promover um diálogo equitativo entre as partes envolvidas.;E;O papel central do mediador (Lei 13.140/2015) é ser um facilitador imparcial do diálogo (E). Ele NÃO pode sugerir, persuadir (A), dar parecer (B) ou tomar decisões (D). Ele também NÃO pode revelar o teor das conversas (C), pois o processo é confidencial. [cite: 2550-2555];O mediador facilita o diálogo, ele não decide, não opina e não persuade.;
Conhecimentos Específicos;Políticas de Saúde (Tabagismo);FGV;Média;De acordo com esse programa [Controle do Tabagismo], nas sessões de aconselhamento programadas, cabe ao profissional abordar as seguintes discussões, à exceção de uma. Assinale-a.;A ambivalência quanto a parar de fumar.;A prioridade da adesão ao tratamento medicamentoso.;As estratégias para superar a crise de abstinência.;O estímulo à prática de exercícios de relaxamento.;A identificação das armadilhas que levam às recaidas.;B;A Terapia Cognitivo-Comportamental (TCC) para tabagismo foca em A, C, D e E. O tratamento medicamentoso (adesivo, bupropiona) é um *apoio*, mas nunca a *prioridade* sobre a abordagem comportamental (que é o pilar do tratamento). [cite: 2557-2564];O tratamento para parar de fumar foca na mudança de comportamento (TCC); o remédio é apenas um auxílio.
Conhecimentos Específicos;Políticas de Saúde (Álcool e Drogas);FGV;Média;A Nota Técnica 11/2019... passou a incluir as comunidades terapêuticas e os hospitais psiquiátricos... Essas mudanças foram consideradas... um retrocesso... em função;do foco no cuidado em rede, com base territorial e respeito à liberdade...;das práticas de atenção desenvolvidas nos hospitais psiquiátricos, orientadas pela lógica da redução de danos...;do retorno à lógica manicomial, com a prática de internação prolongada, isolamento e o forte componente religioso...;da elaboração do projeto terapêutico singular... incentivando a autonomia...;do incentivo ao uso das drogas lícitas... e da abstinência do uso das drogas ilícitas...;C;A crítica à NT 11/2019 foi exatamente essa: ao reinserir hospitais psiquiátricos e Comunidades Terapêuticas (CTs) na rede, ela reintroduziu o financiamento de modelos focados em internação de longa duração, isolamento e abstinência (via religião), o que contraria a Luta Antimanicomial (que prega o cuidado em liberdade, no território, via CAPS). [cite: 2566-2572];A crítica foi o retorno ao modelo de internação (lógica manicomial), em vez do cuidado em liberdade (CAPS).;
Conhecimentos Específicos;Comunicação Não Violenta (CNV);FGV;Fácil;A comunicação não violenta... tem como característica;o emprego de palavras positivas ao se fazer a crítica construtiva...;o uso de técnicas de sugestão com a finalidade de se atingir uma solução...;a escolha de um árbitro imparcial para a escuta empática...;o reconhecimento da responsabilidade pessoal pelos próprios sentimentos, necessidades e comportamentos.;a formulação de solicitações em linguagem abstrata e aberta...;D;"O pilar da CNV é a auto-responsabilidade: em vez de dizer """"Você me irritou"""" (julgamento), dizer """"Eu me sinto irritado (Sentimento) quando você faz X, porque eu preciso de Y (Necessidade)"""". O foco é reconhecer e expressar os próprios sentimentos e necessidades. [cite: 2574-2580]";CNV = Observação + Sentimento + Necessidade + Pedido. (Foco na responsabilidade pessoal).;
Conhecimentos Específicos;Legislação (PCD);FGV;Fácil;...Hugo é um rapaz de 28 anos, com paralisia cerebral, graduado... Sobre a inserção de Hugo no mercado de trabalho, pode-se afirmar que;constitui crime negar ou obstar emprego, trabalho ou promoção a Hugo em razão de sua deficiência.;Hugo tem direito a tratamento diferenciado focado no capacitismo...;Hugo tem direito à remuneração compensatória na forma de adicional por insalubridade ou invalidez.;Hugo só poderá se candidatar à vaga em empresa que apresente condições de acessibilidade e inclusão.;será garantido o acesso de Hugo à tecnologia assistiva e à reabilitação física no próprio ambiente de trabalho.;A;Correto. A Lei Brasileira de Inclusão (Estatuto da Pessoa com Deficiência - Lei 13.146/2015, Art. 4º, §1º) e a Lei 7.853/89 (Art. 8º) definem como crime negar emprego ou promoção à pessoa em razão de sua deficiência. [cite: 2586-2593];É crime recusar emprego a alguém qualificado apenas por causa de sua deficiência.;
